Any;NomMun;Comarca;Costa;Muntanya;Poblacio_padro;Superficie_ha;05_SU;05_SURB;05_SNU;12_A1_SUC;12_A2_SUC;12_A3_SUC;15_SV_SUC;20_Equip_habt
2012;Cornellà de Llobregat;Baix Llobregat;0;;87458;691,11;544,966;95,3277;50,8189;110,3472;8,3835;0;84,7666;7,3671
2012;Cubelles;Garraf;1;;14375;1353,3700;273,8044;176,1003;903,4627;11,0555;7,8112;0;22,2238;10,1704
2012;Dosrius;Maresme;0;;5176;4075,2100;398,1954;134,1855;3542,8252;12,8695;1,1482;0;54,2052;32,9119
2012;Esparreguera;Baix Llobregat;0;;21856;2717,4200;486,8957;102,5793;2127,9463;84,9669;0;0;46,7688;11,7307
2012;Esplugues de Llobregat;Baix Llobregat;0;;46726;449,69;322,5414;67,9634;59,1813;17,0852;1,5176;0;40,7381;9,3946
2012;l'Espunyola;Berguedà;0;Zona de muntanya;255;3524,0100;5,107;0;3518,9040;0;0,6437;0;0,3253;32,1431
2012;l'Estany;Moianès;0;Zona de muntanya;398;1021,5200;34,4128;8,3279;978,7803;0;0;0;2,9064;50,9715
2012;Fígols;Berguedà;0;Zona de muntanya;46;2893,8000;1,9846;0;2891,8146;0;0;0;0,2987;27,6982
2012;Fogars de Montclús;Vallès Oriental;0;Zona de muntanya;442;3976,8500;19,886;0;3956,9689;0;0,6877;0;1,6599;26,9954
2012;Fogars de la Selva;Selva;0;;1529;3164,0200;123,6655;61,4709;2978,8840;7,5153;0;0;11,0083;31,7229
2012;Folgueroles;Osona;0;Zona de muntanya;2230;1118,0300;60,2315;103,4671;954,3312;5,7608;0;0;5,0232;15,0822
2012;Fonollosa;Bages;0;;1438;5238,4800;99,0217;3,2901;5136,1655;2,1127;0,436;0;23,3296;55,5572
2012;Font-rubí;Alt Penedès;0;;1437;3720,8900;67,8128;10,0008;3643,0808;0;3,5847;1,423631926;7,3131;20,7905
2012;les Franqueses del Vallès;Vallès Oriental;0;;19023;2929,0400;322,8483;174,0134;2432,1767;92,9274;1,8837;0;31,561;18,1221
2012;Gallifa;Vallès Occidental;0;Zona de muntanya;200;1624,9600;21,6495;3,1473;1600,1629;0;0;0;1,3416;56,7581
2012;la Garriga;Vallès Oriental;0;;15472;1984,3900;330,2015;152,6034;1501,5890;36,6889;3,8708;0;18,0757;10,2558
2012;Gavà;Baix Llobregat;1;;46488;3080,5900;596,298;545,7059;1938,5880;95,6041;4,8022;0;76,3527;9,2586
2012;Gaià;Bages;0;;167;3941,5800;8,6766;0;3932,9036;0;0;0;0,8221;44,569
2012;Gelida;Alt Penedès;0;;7102;2659,8000;257,1123;51,7443;2350,9472;18,6425;0;0;17,9671;26,1365
2012;Gironella;Berguedà;0;Zona de muntanya;5063;694,29;137,1981;38,628;518,4591;15,6435;0,525;0;17,9519;17,5812
2012;Gisclareny;Berguedà;0;Zona de muntanya;31;3657,2300;0;0;3657,2267;0;0;0;0;0
2012;la Granada;Alt Penedès;0;;2047;634,58;46,1591;45,8591;542,5569;4,5047;0;0;2,7736;17,5874
2012;Granera;Moianès;0;Zona de muntanya;83;2369,7000;13,0902;0;2356,6049;0;0;0;0,1842;48,9582
2012;Granollers;Vallès Oriental;0;;59954;1477,9500;691,5879;156,9782;629,3841;180,6462;1,1188;0;94,2527;8,2602
2012;Gualba;Vallès Oriental;0;;1359;2299,4900;41,5028;75,6974;2182,2910;0;0;0;5,3063;15,1984
2012;Sant Salvador de Guardiola;Bages;0;;3139;3716,9800;140,9744;21,4934;3554,5121;13,7316;0;0;12,7308;30,511
2012;Guardiola de Berguedà;Berguedà;0;Zona de muntanya;998;6159,5200;20,8351;6,3156;6132,3720;2,6009;0;0;1,6887;36,9924
2012;Gurb;Osona;0;;2580;5100,7500;152,3122;163,2726;4785,1683;37,0767;1,9305;0;9,5208;77,8478
2012;l'Hospitalet de Llobregat;Barcelonès;0;;257057;1249,8000;1072,1171;166,8508;10,831;155,7606;11,318;0;125,2365;6,1065
2012;Igualada;Anoia;0;;39198;822,34;622,2445;25,3235;174,773;126,5736;8,7221;0;71,1228;16,9165
2012;Jorba;Anoia;0;;826;3091,3600;35,107;18,3912;3037,8639;7,1103;0;0;1,4605;129,6236
2012;la Llacuna;Anoia;0;Zona de muntanya;928;5329,2900;70,2093;5,2872;5253,7939;6,0027;0;0;0,8157;27,4038
2012;la Llagosta;Vallès Oriental;0;;13612;302,29;81,502;13,2966;207,4952;29,5553;0;0;9,6485;3,5034
2012;Llinars del Vallès;Vallès Oriental;0;;9477;2766,3100;299,0377;179,852;2287,4202;24,3469;0;0;29,8048;17,5553
2012;Lliçà d'Amunt;Vallès Oriental;0;;14584;2232,0600;714,1337;121,2216;1396,7007;25,8986;3,4945;0;57,2392;35,9265
2012;Lliçà de Vall;Vallès Oriental;0;;6394;1082,1000;419,9219;162,9817;499,1993;97,8346;0;0;15,657;30,7812
2012;Lluçà;Lluçanès;0;Zona de muntanya;259;5311,4900;9,8221;0;5301,6689;1,2725;0;0;1,0104;52,4906
2012;Malgrat de Mar;Maresme;1;;18504;876,05;236,2045;70,4151;569,432;36,0393;7,0145;0;18,9909;9,4567
2012;Malla;Osona;0;;269;1100,7900;2,8504;6,5897;1091,3482;0;0;0;0;0
2012;Manlleu;Osona;0;;20416;1710,0900;294,1113;187,008;1228,9674;60,9058;1,2924;0;20,7183;11,4937
2012;Manresa;Bages;0;;76570;4139,0200;730,9947;321,5946;3086,4261;125,6349;13,0565;0;85,0089;11,5839
2012;Martorell;Baix Llobregat;0;;28070;1293,6700;529,3266;187,7827;576,5607;282,4702;1,7318;0;56,1427;10,1599
2012;Martorelles;Vallès Oriental;0;;4927;353,6;187,6473;41,239;124,711;62,7235;0;0;24,1233;8,1331
2012;les Masies de Roda;Osona;0;;760;1619,5400;22,692;22,2196;1574,6252;6,0764;0;0;0,8202;21,4034
2012;les Masies de Voltregà;Osona;0;;3144;2239,2000;97,4128;102,7595;2039,0317;15,1435;0;0;14,0445;24,117
2012;el Masnou;Maresme;1;;22550;348,59;269,233;43,1513;36,2078;8,0669;3,3589;0;17,6602;7,6093
2012;Masquefa;Anoia;0;;8373;1714,3300;320,1546;78,3242;1315,8479;0,5798;0;0;61,8214;17,1703
2012;Matadepera;Vallès Occidental;0;;8669;2559,7200;845,6534;3,9645;1710,1040;2,6857;0,6509;0;220,9325;41,3416
2012;Mataró;Maresme;1;;124084;2227,5100;790,5209;297,7257;1139,2624;67,5825;0;0;94,1444;7,2255
2012;Mediona;Alt Penedès;0;;2348;4793,3500;185,7188;65,2234;4542,4112;4,155;0;0;16,7978;36,4913
2012;Molins de Rei;Baix Llobregat;0;;24805;1581,0500;357,3221;68,8348;1154,8910;57,0642;2,2236;0;41,4666;13,6077
2012;Mollet del Vallès;Vallès Oriental;0;;52242;1081,3000;563,1966;29,4644;488,6434;47,0046;13,1303;0;105,6881;12,7342
2012;Montcada i Reixac;Vallès Occidental;0;;34689;2360,3900;639,7073;638,5646;1082,1165;161,3296;0,6727;0;71,5138;16,9091
2012;Montgat;Maresme;1;;10859;289,29;184,6095;23,2959;81,382;12,2702;0,532;0;34,7622;14,6341
2012;Monistrol de Montserrat;Bages;0;;2993;1199,8300;87,3034;36,9873;1075,5349;8,4327;0,9341;0;11,0788;48,138
2012;Monistrol de Calders;Moianès;0;;700;2226,9000;31,848;55,9016;2139,1510;0;0;0;5,5979;11,7755
2012;Muntanyola;Osona;0;Zona de muntanya;600;4027,4600;142,3628;0;3885,0923;0;0;0;15,2835;152,6985
2012;Montclar;Berguedà;0;Zona de muntanya;115;2235,5100;1,3154;0;2234,1969;0;0;0;0,128;6,6015
2012;Montesquiu;Osona;0;Zona de muntanya;921;482,36;24,9539;0;457,4082;3,1183;0;0;2,7155;21,2095
2012;Montmajor;Berguedà;0;Zona de muntanya;473;7506,3100;19,4482;0;7486,8612;3,5787;0;0;1,3996;39,7674
2012;Montmaneu;Anoia;0;Zona de muntanya;187;1380,7700;23,03;35,3827;1322,3617;0,711;1,1568;0;1,1027;63,659
2012;Figaró-Montmany;Vallès Oriental;0;Zona de muntanya;1103;1478,2200;32,3019;18,4196;1427,4942;2,1873;0;0;1,5612;11,065
2012;Montmeló;Vallès Oriental;0;;8830;394,15;207,0911;60,7893;126,2656;57,9388;2,9598;0;30,6264;12,9557
2012;Montornès del Vallès;Vallès Oriental;0;;16192;1044,0000;225,6656;224,3176;594,0193;63,5465;0;0;19,8259;8,014
2012;Montseny;Vallès Oriental;0;Zona de muntanya;303;2643,3800;3,5023;0;2639,8784;0;0;0;0,1909;15,0031
2012;Moià;Moianès;0;Zona de muntanya;5793;7568,1800;227,0264;70,4336;7270,7153;10,7275;8,3169;0;11,5127;13,905
2012;Mura;Bages;0;Zona de muntanya;227;4718,2500;20,2739;4,9957;4692,9804;0;0,3934;0;2,3068;51,8907
2012;Navarcles;Bages;0;;5973;559,59;152,7024;43,2109;363,6719;14,9511;0;0;19,1052;12,9815
2012;Navàs;Bages;0;;6145;8127,9300;102,9998;8,6194;8016,3103;12,0432;0;0;3,9279;15,0609
2012;la Nou de Berguedà;Berguedà;0;Zona de muntanya;153;2475,0700;10,2791;0;2464,7935;0;0;0;0,5119;49,4121
2012;Òdena;Anoia;0;;3580;5225,1600;158,814;59,6488;5006,6936;46,5475;2,7694;0;16,8614;27,9553
2012;Olvan;Berguedà;0;Zona de muntanya;892;3560,8500;40,9981;65,0849;3454,7692;13,7831;0;0;4,3289;29,8894
2012;Olèrdola;Alt Penedès;0;;3621;3005,3000;310,7544;37,8717;2656,6718;80,2504;0;0;48,0419;50,3456
2012;Olesa de Bonesvalls;Alt Penedès;0;;1755;3153,8400;300,8191;25,1552;2827,8674;1,7912;0;0;5,8757;2,1993
2012;Olesa de Montserrat;Baix Llobregat;0;;23980;1641,3900;283,9899;151,6851;1205,7157;40,441;2,1654;0;10,1851;7,3293
2012;Olivella;Garraf;0;;3678;3890,0400;393,0451;134,9029;3362,0954;0,1566;0;0;57,3636;53,5884
2012;Olost;Lluçanès;0;Zona de muntanya;1188;2915,6700;65,0034;12,4869;2838,1831;11,1009;0,7071;0;5,5059;44,4509
2012;Orís;Osona;0;Zona de muntanya;294;2613,2900;29,6845;0;2583,6089;2,5669;0,9736;0;9,0393;37,5026
2012;Oristà;Lluçanès;0;Zona de muntanya;566;6849,1000;26,4594;2,6633;6819,9807;1,8661;0;0;2,8413;39,7552
2012;Orpí;Anoia;0;;160;1488,8500;8,6558;0;1480,1969;2,2831;0;0;1,0723;23,2123
